city,county,state,property_type,price,description
Porter Ranch,Los Angeles County,CA,TOWNHOUSE,685000,"Recently remodeled End unit!   All newer windows access lush green views. North West facing provides gorgeous sunset  from your private balcony.  Quality finishes thru-out! Large rear patio off kitchen. Stunning kitchen with slider to patio and large picture window. Top of the line cabinetry , quartz  counter tops, stainless steel appliances including double door refrigerator. Formal dine large enough for banquet dining.  Spacious Living room with volume ceilings, terrific wall space and fireplace. Master bedroom with volume ceilings and gorgeous ensuite bath. All newer doors, crown moldings, flooring and custom planation shutters ad custom shuttered closet doors thru-out. Large double door entry has direct access to attached garage. Great pool and greenbelt views. No question here, the unit is move in ready with nothing more to do as owner has done it all with great taste, including all smooth ceilings with recessed lighting. Not a penny need be spent! Highly acclaimed schools plus close to new Vineyards shopping mall. Another plus for those that enjoy outdoor activities is Limekiln Canyon for hiking, jogging and walking.  Public library just down the street! The finest unit to come up for sale in the community. Water and sewer are paid by HOA!"
Van Nuys,Los Angeles County,CA,SINGLE_FAMILY,700000,"Great Stater home nestled in the most secluded part of Greenwood Square Community. It offers unique privacy and serene surroundings. Built-in 2017, this flawless, detached tri-level, single-family residence offers 3 bedrooms, 3 bathrooms and open living space. Includes dual zoned air conditioner. Luxury Vinyl Flooring throughout  Conveniently situated on Sherman Way just minutes from the 405, 5, 101, 134 and 170 freeways, as well as Metrolink® stations and the Metro Orange Line, Greenwood Square combines the convenience of urban living in an established neighborhood with sophisticated home designs. Easy access to the many employers, entertainment venues, and cultural attractions throughout L.A. County"
Los Angeles,Los Angeles County,CA,CONDO,695000,"Located in Mid of Koreatown in LA. Quiet area and a quiet building. You can enjoy the East, the West, and the South direction views in this condo. The big master bedroom has a balcony and a walking closet."
Chatsworth,Los Angeles County,CA,TOWNHOUSE,690000,"This spacious and welcoming home in the pastoral Northwestern part of Los Angeles County is waiting for you. Nestled amongst the cities most mature   urban forest, up against the Santa Susan pass makes this an outdoor lover's dream. The wood (like) flooring on the first floor creates a warm inviting feeling as you enter the home. The kitchen has been remodeled, and the garage includes built-in shelving for storage. The  Rockpointe community features 4 pools, 92 acres of tree-studded greenbelts. You will love the Rockpointe Lifestyle"
Los Angeles,Los Angeles County,CA,CONDO,705000,"Unit #336 is a large, open, and cozy loft home at Barker Block: the premier live/work residence in DTLA's Arts District. The open floor plan with bedroom alcove showcases century-old wood posts, beams and rafters.  High ceilings accent the living space and equally impressive chefs kitchen with stainless steel appliances and granite counter tops.  Completing the home is a large bathroom with oversized soaking tub, in unit washer & dryer, and central AC/Heat.  One secured/covered parking space is included in the attached community garage. Residents come home to a reimagined sky deck with rooftop pool, spa, BBQs & fitness center. 24/7 security. Free WiFi in all common areas. Across from Urth Caffe, LA Cleantech Incubator and the Arts District Park. Central to all Fwys. Near USC; walk to SCI Arc. Check out the red hot Arts District - home to Spotify, Warner Bros. Music, Sony, Apple TV,  Honey,  SOHO House, award-winning 5 star restaurants like Girl & the Goat and Manuela,  clubs,  taverns and all things hip and trending. Come home to Barker Block, a piece of living history that exemplifies the burgeoning community of art, culture, and entertainment in downtown."
Los Angeles,Los Angeles County,CA,CONDO,700000,"You’ve waited long enough, and it’s finally here! A beautiful home, situated in an ideal, convenient location! This immaculate 2 bedroom, 2 bathroom condo welcomes you through its spacious open floor plan where you can comfortably enjoy life. The kitchen is perfectly set for preparing your favorite meals in, it’s adorned with ample cabinetry, a breakfast bar, and a pantry closet. Glide over to the dining and living room where you can entertain friends, relax and get cozy next to the fireplace. Enjoy the brightly lit, airy living space opening to the patio, ready for your BBQ.  The generously sized primary bedroom boasts a walk in coset, an en suite bathroom and an additional fireplace for chilly winter evenings. The roomy secondary bedroom offers plenty of space for a guest room, office or both. This is an end unit, with washer and dryer inside the home. The building is secure, with gated parking and 2 assigned parking spots. Enjoy all this home has to offer including LOCATION LOCATION LOCATION- you’re minutes away from the Runway at Playa Vista, Silicon Beach, gourmet restaurants, coffee shops, downtown Culver City, Marina del Rey. A short bike ride to the beach & Playa Del Rey, hike trails to Baldwin Hills Scenic Overlook, Ballona Creek Bike Path and so much more. Make this home your brand new start to 2022, you’ll love where you live!"
Los Angeles,Los Angeles County,CA,CONDO,705000,"Welcome to this beautifully updated and extra spacious 2-bedroom, 2.5-bath condo with laundry in the unit (yay!) that's located in the heart of Highland Park, conveniently close to Figueroa Street and the Metro Gold Line station. Enjoy a tastefully remodeled kitchen, spacious dining area, and two large ensuite bedrooms and plenty of storage space, too! It also offers 2 off street and secured parking spots featuring an extra deep single car private garage that could alternatively be used as a home office or gym plus 1 parking space in a covered carport. The kitchen has gorgeous quartz counter tops, white shaker cabinets, a garden window, brass fixtures, stove, dishwasher, microwave and fridge. Additional upgrades include newer air conditioning and heating system, updated electrical and newer flooring.  The community is controlled by gated access and offers tree lined walkways leading to your front door. Great proximity to Hermon Dog Park, Ernest E. Debs Regional Park, Downtown LA, Pasadena, Glendale, Dodgers Stadium, and the Rose Bowl. This is a rare find in this highly desirable area of Highland Park -   don't let this opportunity pass you by!"
Van Nuys,Los Angeles County,CA,CONDO,700000,"Gorgeous front-facing condo in the beautiful Villa Trevi Tuscan-style building! Ideal private corner location in this quiet, secure building. Fantastic open layout with great light and high ceilings throughout. A welcoming entryway with its hall closet and half bath leads into an inviting living room with hardwood floors, cozy gas fireplace and dining area, both opening to private patios. This is an ideal floor plan for entertaining with the living room and dining area opening to the spacious kitchen. The gourmet kitchen is impressive with its granite countertops, breakfast bar, stainless steel appliances, high-quality cabinetry, plenty of counter space and storage. Large primary bedroom suite with an enormous walk-in closet and even room for a sitting area. Its beautiful bathroom feels like a spa with dual vanities and a separate soaking tub and shower. Near the spacious secondary bedroom is another beautiful bathroom with travertine, storage vanity and combination bath/shower. Conven"
Los Angeles,Los Angeles County,CA,CONDO,708000,"Welcome to Clark Drive, a very rare unit on an exclusive and very private street known as Ivy League Square, and located by fine dining and Cedars Sinai Hospital. This serene, and beautiful 1-bed/1.5-bath condo has abundant amenities including 2 parking spaces, low HOA dues, hardwood floors, a gas log fireplace, high ceilings, Carrara Marble countertops, a walk-in closet, in-unit washer/dryer, and of course your very own private outdoor nook. Designed and furnished by Linnea, Swedish designer and Vice President of Hastens NY, furnished with the best of restoration hardware, west elm, crate and barrel, and more. Located right around the corner from all the happening restaurants and shopping on Robertson and Beverly Center, Ivy, pubs, restaurants, shopping, hospital, with a Walk-Score of 93/100, Southern California cool is here, and it is found on S Clark Drive."
Los Angeles,Los Angeles County,CA,CONDO,695000,"CIRCA 1929, alluring Spanish Colonial in tranquil - Wilshire Vista Neighborhood. This large 2BR / 1 BA unit has approx. 1200 Sq.Ft. and is bursting with natural light. The Southern exposure second level unit is part of a 4-unit TIC community that was built with period style and timeless craftsmanship.  Arches and trey ceilings captivate you as you walk through the living room, while sunshine ebbs & flows into the dining room & open kitchen. The fully-equipped kitchen has been remodeled with new soft close cabinets, new hardware, quartz counter tops & back splash, ceramic flooring, SS sink with built in strainer/rack/cut board, and new appliances included. In unit W/D hookups, upgraded plugs + wiring, and new LED lighting fixtures throughout. 1 car-off-st. covered parking, remote access gated driveway & main entry, and a beautiful landscaped grounds complete this timeless offering. Low HOA includes water, insurance, + exterior maintenance. A+ neighborhood & final unit for sale in this gorgeous building. Shown by appointment. Seller requests any offers be submitted by Tuesday 11/23 by 5PM."
Los Angeles,Los Angeles County,CA,SINGLE_FAMILY,700000,"Great family home! This property was included in the Airport Noise Abatement Program, therefore it has all triple-pane windows and insulated doors and attic. Original hardwood floors throughout except 1 bedroom and living room. This home has TONS of closet space with each bedroom having 9' sliding closet doors. This property is 2 miles from Forum and Sofi Stadium."
Los Angeles,Los Angeles County,CA,SINGLE_FAMILY,685000,"This beautiful property is back on the market due to the buyer's job transfer.  Newly Renovated property with detached garage (ADU would be allowed per city guidelines). Rare 3 bedroom 2 bathroom home with drought tolerant landscaping, new flooring, new kitchen, new lighting, new bathrooms, and brand new quad zone mini split HVAC system for the whole house.  Large backyard with oversized patio cover and built in brick fireplace and space for a grill.  This house features a master bedroom with its own en-suite bathroom for ultimate privacy.  Centrally located with Easy access to the 105 freeway and close proximity to downtown LA or LAX airport."
Sylmar,Los Angeles County,CA,SINGLE_FAMILY,700000,"Xlnt Value!  Great location, nestled in a suburban residential neighborhood, yet close to public transportation, Metro Station and local shopping, and only a half-block away from the Elementary School.   Raised foundation, copper plumbing repipe, upgraded central HVAC system, many rooms feature hardwood floors, traditional open floor plan.   Bathrooms have been partially updated, kitchen has original custom-built cabinets (doors have been removed)."
Granada Hills,Los Angeles County,CA,CONDO,690000,"Turn-key two-story townhome with 3 BD/ 2.5 BA unit at the Woodlands in Granada Hills! Nestled midway through the community, it offers tree shaded, park-like setting privacy and a convenient community pool. A ton of upgrades adorn this home including new light wood plank flooring which ushers you into the open living and dining area with brick fireplace. Ample natural light flows through to the living, dining and kitchen area. Sliding doors off the dining room lead to the backyard patio and the detached garage with a new garage door. The U-shaped kitchen offers efficiency and style with its wood cabinetry, KitchenAide stainless steel appliances and granite countertops. Just past the short hallway and half bath, you’ll ascend the stairs to the second level and find a well appointed hallway bath with all of the upgrades as well as the primary bedroom with vaulted ceilings, upgraded ensuite bath with European vanities, its own balcony and two additional bedrooms. New garage door compatible work remotely Camera system (CCTV) Front door and backyard Ring intercom, Home automation - smart home Sound System - 1st floor Nest HVAC system. Smart Home features can be controlled far from home with mobile app. Nearby: local shopping and dining, easy access to I-405 and 118 Freeway. Buyer to verify all information."
Los angeles,Los Angeles County,CA,TOWNHOUSE,705000,"This spacious, with no common walls, townhouse situated in a secure gated community feels exactly the same as a single family residence. This is a  turn key home with a remodeled kitchen with new granite countertops and single bowl stainless steel sink. A large living room with a cozy fireplace, modern smooth ceilings, recessed lighting, and a convenient sliding door leading to your own private patio. The huge master suite has high ceilings, recessed lighting, a walk-in closet and exquisite full bathroom with double sink vanity, rain shower and bathtub. In addition, there are 3 more well-sized bedrooms and full bathroom upstairs with rain shower for your family. But wait, there is more: you’ll enjoy a separate laundry room, finished attached double garage for 2 cars with a direct entrance into your home. There is newer paint throughout, and crown moldings to add a finishing touch. HOA includes water, trash, and yard maintenance. The community offers a large swimming pool and SPA, perfect for entertaining your guests, and a play area."
Los Angeles,Los Angeles County,CA,SINGLE_FAMILY,700000,"Just remodeled and turn key ready. Sought after craftsman in great up & coming neighborhood of Vermont Knolls. Large and welcoming front covered porch.  Spacious great room floor plan with open dining and kitchen. 3 bedrooms, full bath and laundry.  Brand new flooring , new interior paint throughout .Huge backyard plus a one car garage that has ADU conversion possibilities. Low maintenance and tolerant front and back landscaping. Minutes to shopping dining ,  close to USC and minutes to 110 & 10 Freeways, downtown LA and LAX."
Sylmar,Los Angeles County,CA,SINGLE_FAMILY,690000,"This stunning 4 bedroom/ 2.5 bathroom, two-story, smart home is nestled in Sylmar. It is conveniently located within minutes from Mission  College, O’Melveny Park, Veterans Park, El Cariso Park/ Golf Course and has easy access to the 5, 405, 118, 210, and 14 freeways. The open floor  plan encompasses an abundance of natural light, energy efficient/ energy star stainless steel appliances, ""Cool Roof"" rated roof tiles, stone  countertops, recessed lighting, soft close cabinets, pantry, vinyl flooring, master bedroom with with walk-in closet & en-suite bathroom, double pane  windows, high efficiency tankless water heater, solar system, high efficiency heating and cooling units, copper plumbing, electric vehicle hook up,  and attached two-car garage with direct access. The loft upstairs is perfect for an at-home work space or play area. Complex is well maintained  with low HOA of $240 per year! Property is ""Turn-Key"" and has been priced to sell!"
Porter Ranch,Los Angeles County,CA,TOWNHOUSE,695000,"Beautiful 2-bedroom 2.5 bath townhouse in a gorgeous gated community in upscale Porter Ranch.  Newly renovated, with freshly painted interior, quartz kitchen countertops, and tile backsplash.  Engineered hardwood floor on the 1st level and new SPC flooring on the second level.  Shutters all throughout, stainless steel appliances, tons of cabinet space and pantry, and 2-car garage.  Laundry on the first level.    Private patio at the front entrance and a spacious balcony that opens from the upstairs master bedroom that is a perfect spot to enjoy your morning coffee.  Huge master bathroom with double vanity sink and large walk-in closet.  Enjoy a quiet walk inside the community with waterfalls and hiking trails, or hang out in the resort style pool that includes a hot tub, BBQ area, children's wading pool and playground.  Within walking distance to Whole Foods, the new Vineyard shopping center, trendy restaurants, and the new AMC theater.  Must see! Won't last!"
Tarzana,Los Angeles County,CA,APARTMENT,700000,"Immaculate, bright, and spacious 3 bedroom and 2 bath luxury condo with an open floor plan in a gated community. Gourmet kitchen with granite counter tops and stainless steal double oven, dishwasher and refrigerator is perfect for entertaining. Large living room with fireplace and access to a balcony that overlooks a tree-lined street. Washer and dryer hook-ups in condo. High cathedral ceilings, huge closets, and plenty of storage. Well maintained complex with pool, spa, and gated parking. One block off Ventura and close to restaurants, shopping centers, entertainment and easy reach of transportation. Water and trash is included.

Owner pays for trash and sewer"
Tarzana,Los Angeles County,CA,CONDO,700000,"The ONE you've been waiting for!!!  Sensational and light filled top floor unit with soaring ceilings and tons of natural light! Prime rear of complex location.  This 2 bed, 2 bath gem features dramatic vaulted ceilings, an open floorplan, and a flexible loft space that could be used as an office, guest room, home gym or? A double door entrance opens to the spacious living space with a wall of windows and fireplace in the living room, a formal dining room, and a cook's kitchen with ample cabinet space, built-in appliances and a convenient breakfast bar. Both bedrooms are on the main floor and include an oversized master with vaulted ceiling, mirrored wardrobe and a private full bath. Another spacious second bed and bathroom are offered, included an in-unit laundry area. Upstairs in addition to the flex live/work loft space is an unheard of amount of additional storage space! Located in a premier gated complex with community pool and tons of guest parking, plus a great walkability to Ventura Blvd, trendy restaurants, shopping, and grocery stores. Plus only minutes to freeway and more!"
Los Angeles,Los Angeles County,CA,CONDO,705000,"PRIME LOCATION! Larchmont Village adjacent and one block away from Paramount Studios. Built in 2007, this 15 unit modern residences designed by Jay Vanos features this generous 1BR/1BA first floor unit with a very large private fenced-in patio. Modern design consists of polished industrial concrete surfaces, fireplace, and recessed gallery lighting. The kitchen offers Italian design cabinetry, exquisite fixtures and stainless steel Bertazonni gas cooktop, stainless steel side by side refrigerator including in-unit full size Samsung washer/dryer to complete a convenient lifestyle. Built in cabinetry with LED lighting in spacious bathroom. Smart home system-Nest and August Lock. 2 designated tandem parking spots and an EV charging hook up in the subterranean gated garage and gated entry with intercom. LOW HOA dues cover water, building maintenance, landscaping, insurance, trash removal and 4 guest parking spaces. Centrally located  to trendy Larchmont  - walk to everything - Kali, Cafe Gratitude, Lemonade and all the hot restaurants and shops along Melrose Ave."
Los Angeles,Los Angeles County,CA,CONDO,705000,"Presenting this gorgeous 2 Bed 2 Bath in a Newer Luxury Condo Building in KoreaTown!  Offering a contemporary floor plan and featuring modern designer surfaces & fixtures including recessed lighting & chic hardwood floors. Generous detailed kitchen w/ polished Quartz Countertops, custom-designed glass, natural stone backsplash, modern cabinetry & premium stainless steel appliances. The Luxury Large Master bedroom has a Walk-in Closet w/ it's own Private Balcony. Your own personal Laundry Room equipped with full-sized washer & dryer. Two assigned parking spaces in a secured garage with bicycle storage. On-site fitness area w/ state of the art equipment for cardiovascular and weight training, boxing, and a yoga/meditation area. Courtyard & exterior common areas w/ relaxed seating & a community BBQ grill. On-site pet-friendly and secured area. Surrounded by trendy restaurants, Target,  renowned medical buildings, & public transit."
Sylmar,Los Angeles County,CA,SINGLE_FAMILY,699900,"Huge price reduction!!!! Seller is very motivated and it shows.  Great listing in excellent neighborhood.  This 4 bedroom 2 bathroom house is located in a family oriented cul-de-sac within walking distance to El Carrizo golf course and LA Mission College also close to major transportation routs.   The house features newer interior and exterior paint with front brick accents, the kitchen has a breakfast bar and built in cook top, tile floors in kitchen, dining area and both bathrooms, brick accented fireplace in living room, wall to wall carpet in all the bedrooms, ceiling fans, central air conditioner and heating, copper plumbing, remodeled bathrooms with tile floors and tile enclosures, double pane windows, built-in BBQ, enclosed large back yard with a variety of fruit trees."
Northridge,Los Angeles County,CA,CONDO,695000,"At just over two years old, this barely lived-in exquisite new offering in the Aldea Community is what you've been looking for. Two spacious bedrooms upstairs, smartly buffered by a large open den area perfect for an office or play area. All premium finishes throughout include engineered hardwood flooring downstairs, gorgeous granite countertops with full backsplash in kitchen, beautiful wood cabinetry, stainless steel appliances, travertine in the bathrooms, and supple high grade carpet upstairs. Every room is bathed in natural light providing warmth and serenity, easily controlled with custom plantation shutters. Added Bonus: a custom water softening and filtration system. This is it!"
Los Angeles,Los Angeles County,CA,CONDO,699000,"Imagine a retreat in the middle of the city. Awash with light and blond floors, basking in the warm light; crispy white walls and an open kitchen with brand new SS appliances. There's more...through the hallway leading to the bedrooms, tucked inside the closet you'll find your regular sized washer/dryer. The bathrooms shine with their new sink and light fixtures. This private and peaceful place has double-pane windows with built-in screens. Its all the space you need. This gem is located in an intimate 9-unit complex and provides a two-car tandem parking space. The location is unbeatable. A walker's paradise; 18 minutes to Westwood Park, 24 minutes to UCLA, 17 minutes to the New Google Campus! And if all that walking made you hungry, you can stop by the iconic Apple Pan, a 14 minute walk!"
San Fernando,Los Angeles County,CA,SINGLE_FAMILY,700000,"Fantastic 3 bedroom home in sought after San Fernando location. Fully equipped eat-in kitchen includes updated counters, white cabinets, and breakfast bar.  The main bedroom boasts a private ensuite with dual sinks and walk-in closet. Other bedrooms offer plush carpet, ceiling fans, and sizable closets. Don't wait! Make this beautiful home yours today. This home has been virtually staged to illustrate its potential."
Studio City,Los Angeles County,CA,CONDO,698000,"Introducing a modern Studio City condo with an open-concept floor plan. Enter to find a spacious living room with wood-burning fireplace that leads you into the dining room and kitchen complete with stainless steel appliances and granite counters. Bamboo wood flooring throughout. Both bedrooms are generously sized, with the master offering 2 closets and en-site bath equipped with dual vanities. The unit also features inside laundry with newer washer and dryer, newer HVAC, side by side parking and ample storage. Located within a well-maintained complex with only 12 units and moments to Beeman Park and all the shopping and dining on Ventura Blvd, welcome!"
Los Angeles,Los Angeles County,CA,SINGLE_FAMILY,688000,"A diamond in the rough with many possibilities. This property features a 2 bedroom and 1 bath with two extra rooms that can be used as a den/office and/or an extra bedroom.  The living room has natural hardwood floors and an inviting fireplace; the kitchen features a breakfast bar and built-in microwave; a separate laundry area and a basement that can be used as a media room or a man/woman's cave.  A large backyard with an outdoor sink dog wash for your pet and plenty of space to add an ADU. Convenient to freeways, Baldwin Hills Shopping Center, the new SOFI Stadium, Staples, and USC. Sale subject to seller finding a home of choice and concurrent closing."
Van Nuys,Los Angeles County,CA,SINGLE_FAMILY,700000,"YES!!  HERE IS A CHANCE TO HAVE YOUR DREAMS COME TRUE!!  First time in the market & has been loved & enjoyed by the same Family for over 50 years: Nice home on very  desirable & quiet neighborhood in our dear Van Nuys. Lovely property offers 3 good size bedrooms, dining room, nice kitchen, spacious living room with fireplace, covered patio with laundry and storage area. Central air & heating, 2 car garage with extra space in the back. Ample front and back yard with fruit trees.  Long driveway provides for plenty of parking.    The Seller's Agent advises Brokers & their Buyers to verify the accuracy of the information and the condition of the  property, and the Sellers do not approve, disapprove or guaranty anything even the City records or information.    Come and See!!"
Sherman Oaks,Los Angeles County,CA,CONDO,700000,"Welcome home to this gorgeous 2 bedroom 2 bathroom remodeled condo in prime South of the Blvd. Sherman Oaks. Open & spacious condo with remodeled kitchen, fireplace in living room and outside private terrace with beautiful views and plenty of sunlight. The master suite has three closets, double sinks, separate tub and stall shower. Large 2nd bedroom with two walk-in closets and access to balcony. Features include recessed lighting, plenty of storage space, outside private terrace with beautiful views, washer and dryer in the unit. Community features secure garage parking with plenty of guest spaces, elevator, rec room, pool, spa, sauna and barbecue area. Prime Sherman Oaks location close to Ventura Blvd, 405 & 101 fwy. Whole Foods and Pavillions close by. Restaurants and shopping on Ventura Blvd."
Los Angeles,Los Angeles County,CA,CONDO,685000,"This 2+2 Gem of a unit sits in an area of LA that many consider Mar Vista, and was listed as such when the owner bought it, but according to our Listing service it's area 12 - MDR (Full Disclosure). Great value in either area that is in Move-in condition w/ upgrades to bathrooms/kitchen and yet if you wanted to put your own stamp on design, there is opportunity for that too! The open layout feels spacious, especially for the size, with the 2 bedrooms separated by the bathrooms and closet space to provide quiet and privacy. A quiet rear unit, in a small 18-unit building w/ inside Laundry, Cozy Fireplace in the living room and a balcony that runs the length of the Living room and Primary En-suite bedroom, which boasts a walk-in closet and remodeled Bathroom as well. Great Central location w/ all major services just a short distance, tandem parking, earthquake insurance and Central A/C.  A solid Westside unit waiting for its new owner. The current owner, who was single when he bought it, met the love of his life, got married and they are moving on to their next step of Homeownership! Lucky you as this place has great MOJO!!"
Los Angeles,Los Angeles County,CA,CONDO,685900,"Conveniently located near LAX, minutes away from Marina Del Ray and Loyola Marymount University, sits a 1130 sqft, 2-bedroom, 2-bathroom condominium.  As you enter the front door you are greeted with a tile floored hallway that leads directly into the fully equipped kitchen. With built-in stainless-steel appliances, this kitchen is chicly styled with pale blonde toned cabinetry and gray countertops. Further ahead is a living room with laminate flooring that’s flooded with natural lighting from the glass sliding door. Venture down the hallway, upon right of entry, that connects a bathroom with bedrooms. One of two bedrooms is the primary that is in its own wing, with two walk-in closets and an en suit bathroom. The unit includes a washer/dryer unit inside a closet and a community subterranean lot with 2 tandem parking spots. A warp around balcony with access from the living room and both bedrooms, making it the perfect space to set up for lounging and enjoy the summer days of So Cal. Amenities included in the building are a pool/spa, a secured mail room and a recreation room."
Los Angeles,Los Angeles County,CA,CONDO,700000,"Unit #416 is a bright and cozy loft home at Barker Block: the premier live/work residence in DTLA's Arts District. The open floor plan loft with bedroom alcove is situated closest to the attached parking structure & elevators to the totally reimagined, rooftop pool, spa, BBQs & fitness center. Gorgeous polished concrete floors. S/S gourmet kitchen with granite countertops. Two large wardrobes offer lots of storage. A designer bathroom, in unit washer/dryer, and one secured/covered parking space are also included. 24/7 security. Free WiFi in all common areas. Across from Urth Caffe, LA Cleantech Incubator and the Arts District Park. Central to all Fwys. Near USC; walk to SCI Arc. Check out the red hot Arts District - home to Spotify, Warner Bros. Music, SOHO House, award-winning 5 star restaurants like Factory Kitchen & Manuela, Urban Radish market, clubs, taverns and all things hip and trending.  Come home to Barker Block, a piece of living history that exemplifies the burgeoning community of art, culture, and entertainment in downtown."
